Date,delegacion_inicio,value
2015-04-01,BENITO JUAREZ,194
2015-04-01,COYOACAN,193
2015-04-01,CUAJIMALPA,31
2015-04-01,CUAUHTEMOC,354
2015-04-01,GUSTAVO A. MADERO,257
2015-04-01,IZTACALCO,181
2015-04-01,IZTAPALAPA,352
2015-04-01,MAGDALENA CONTRERAS,59
2015-04-01,MIGUEL HIDALGO,163
2015-04-01,MILPA ALTA,21
2015-04-01,TLAHUAC,69
2015-04-01,TLALPAN,112
2015-04-01,VENUSTIANO CARRANZA,192
2015-04-01,XOCHIMILCO,64
2015-08-01,ALVARO OBREGON,173
2015-08-01,AZCAPOTZALCO,86
2015-08-01,BENITO JUAREZ,151
2015-08-01,COYOACAN,152
2015-08-01,CUAJIMALPA,35
2015-08-01,CUAUHTEMOC,300
2015-08-01,GUSTAVO A. MADERO,241
2015-08-01,IZTACALCO,80
2015-08-01,IZTAPALAPA,391
2015-08-01,MAGDALENA CONTRERAS,31
2015-08-01,MIGUEL HIDALGO,140
2015-08-01,MILPA ALTA,6
2015-08-01,TLAHUAC,75
2015-08-01,TLALPAN,115
2015-08-01,VENUSTIANO CARRANZA,139
2015-08-01,XOCHIMILCO,83
2015-12-01,ALVARO OBREGON,174
2015-12-01,AZCAPOTZALCO,131
2015-12-01,BENITO JUAREZ,134
2015-12-01,COYOACAN,171
2015-12-01,CUAJIMALPA,40
2015-12-01,CUAUHTEMOC,301
2015-12-01,GUSTAVO A. MADERO,286
2015-12-01,IZTACALCO,149
2015-12-01,IZTAPALAPA,443
2015-12-01,MAGDALENA CONTRERAS,17
2015-12-01,MIGUEL HIDALGO,162
2015-12-01,MILPA ALTA,22
2015-12-01,TLAHUAC,96
2015-12-01,TLALPAN,73
2015-12-01,VENUSTIANO CARRANZA,162
2015-12-01,XOCHIMILCO,109
2015-01-01,ALVARO OBREGON,140
2015-01-01,AZCAPOTZALCO,99
2015-01-01,BENITO JUAREZ,152
2015-01-01,COYOACAN,169
2015-01-01,CUAJIMALPA,40
2015-01-01,CUAUHTEMOC,311
2015-01-01,GUSTAVO A. MADERO,331
2015-01-01,IZTACALCO,113
2015-01-01,IZTAPALAPA,444
2015-01-01,MAGDALENA CONTRERAS,23
2015-01-01,MIGUEL HIDALGO,141
2015-01-01,MILPA ALTA,19
2015-01-01,TLAHUAC,52
2015-01-01,TLALPAN,102
2015-01-01,VENUSTIANO CARRANZA,140
2015-01-01,XOCHIMILCO,65
2015-02-01,ALVARO OBREGON,184
2015-02-01,AZCAPOTZALCO,124
2015-02-01,BENITO JUAREZ,161
2015-02-01,COYOACAN,196
2015-02-01,CUAJIMALPA,32
2015-02-01,CUAUHTEMOC,355
2015-02-01,GUSTAVO A. MADERO,262
2015-02-01,IZTACALCO,129
2015-02-01,IZTAPALAPA,434
2015-02-01,MAGDALENA CONTRERAS,25
2015-02-01,MIGUEL HIDALGO,153
2015-02-01,MILPA ALTA,20
2015-02-01,TLAHUAC,83
2015-02-01,TLALPAN,155
2015-02-01,VENUSTIANO CARRANZA,183
2015-02-01,XOCHIMILCO,71
2015-07-01,ALVARO OBREGON,141
2015-07-01,AZCAPOTZALCO,76
2015-07-01,BENITO JUAREZ,206
2015-07-01,COYOACAN,133
2015-07-01,CUAJIMALPA,36
2015-07-01,CUAUHTEMOC,325
2015-07-01,GUSTAVO A. MADERO,311
2015-07-01,IZTACALCO,104
2015-07-01,IZTAPALAPA,366
2015-07-01,MAGDALENA CONTRERAS,45
2015-07-01,MIGUEL HIDALGO,195
2015-07-01,MILPA ALTA,6
2015-07-01,TLAHUAC,64
2015-07-01,TLALPAN,86
2015-07-01,VENUSTIANO CARRANZA,151
2015-07-01,XOCHIMILCO,63
2015-06-01,ALVARO OBREGON,158
2015-06-01,AZCAPOTZALCO,74
2015-06-01,BENITO JUAREZ,176
2015-06-01,COYOACAN,176
2015-06-01,CUAJIMALPA,37
2015-06-01,CUAUHTEMOC,270
2015-06-01,GUSTAVO A. MADERO,253
2015-06-01,IZTACALCO,107
2015-06-01,IZTAPALAPA,417
2015-06-01,MAGDALENA CONTRERAS,35
2015-06-01,MIGUEL HIDALGO,154
2015-06-01,MILPA ALTA,10
2015-06-01,TLAHUAC,58
2015-06-01,TLALPAN,103
2015-06-01,VENUSTIANO CARRANZA,171
2015-06-01,XOCHIMILCO,104
2015-03-01,ALVARO OBREGON,195
2015-03-01,AZCAPOTZALCO,140
2015-03-01,BENITO JUAREZ,203
2015-03-01,COYOACAN,218
2015-03-01,CUAJIMALPA,37
2015-03-01,CUAUHTEMOC,355
2015-03-01,GUSTAVO A. MADERO,248
2015-03-01,IZTACALCO,146
2015-03-01,IZTAPALAPA,405
2015-03-01,MAGDALENA CONTRERAS,40
2015-03-01,MIGUEL HIDALGO,168
2015-03-01,MILPA ALTA,18
2015-03-01,TLAHUAC,106
2015-03-01,TLALPAN,139
2015-03-01,VENUSTIANO CARRANZA,216
2015-03-01,XOCHIMILCO,77
2015-05-01,ALVARO OBREGON,158
2015-05-01,AZCAPOTZALCO,97
2015-05-01,BENITO JUAREZ,197
2015-05-01,COYOACAN,186
2015-05-01,CUAJIMALPA,40
2015-05-01,CUAUHTEMOC,386
2015-05-01,GUSTAVO A. MADERO,299
2015-05-01,IZTACALCO,160
2015-05-01,IZTAPALAPA,460
2015-05-01,MAGDALENA CONTRERAS,26
2015-05-01,MIGUEL HIDALGO,158
2015-05-01,MILPA ALTA,8
2015-05-01,TLAHUAC,89
2015-05-01,TLALPAN,128
2015-05-01,VENUSTIANO CARRANZA,162
2015-05-01,XOCHIMILCO,79
2015-11-01,ALVARO OBREGON,176
2015-11-01,AZCAPOTZALCO,135
2015-11-01,BENITO JUAREZ,176
2015-11-01,COYOACAN,209
2015-11-01,CUAJIMALPA,33
2015-11-01,CUAUHTEMOC,337
2015-11-01,GUSTAVO A. MADERO,316
2015-11-01,IZTACALCO,101
2015-11-01,IZTAPALAPA,373
2015-11-01,MAGDALENA CONTRERAS,15
2015-11-01,MIGUEL HIDALGO,161
2015-11-01,MILPA ALTA,17
2015-11-01,TLAHUAC,74
2015-11-01,TLALPAN,113
2015-11-01,VENUSTIANO CARRANZA,193
2015-11-01,XOCHIMILCO,100
2015-10-01,ALVARO OBREGON,192
2015-10-01,AZCAPOTZALCO,112
2015-10-01,BENITO JUAREZ,185
2015-10-01,COYOACAN,210
2015-10-01,CUAJIMALPA,26
2015-10-01,CUAUHTEMOC,377
2015-10-01,GUSTAVO A. MADERO,338
2015-10-01,IZTACALCO,135
2015-10-01,IZTAPALAPA,470
2015-10-01,MAGDALENA CONTRERAS,37
2015-10-01,MIGUEL HIDALGO,135
2015-10-01,MILPA ALTA,7
2015-10-01,TLAHUAC,87
2015-10-01,TLALPAN,129
2015-10-01,VENUSTIANO CARRANZA,183
2015-10-01,XOCHIMILCO,87
2015-09-01,ALVARO OBREGON,184
2015-09-01,AZCAPOTZALCO,158
2015-09-01,BENITO JUAREZ,157
2015-09-01,COYOACAN,151
2015-09-01,CUAJIMALPA,44
2015-09-01,CUAUHTEMOC,312
2015-09-01,GUSTAVO A. MADERO,298
2015-09-01,IZTACALCO,133
2015-09-01,IZTAPALAPA,442
2015-09-01,MAGDALENA CONTRERAS,62
2015-09-01,MIGUEL HIDALGO,142
