"Name","Gross Export","Share","Code","Sector"
"Worked building stone","44506968","0.009097087191051416","6802","Stone"
"Worked slate","12158","0.0000024850577569966823","6803","Stone"
"Grindstones","43601776","0.008912068733972016","6804","Stone"
"Natural or artificial abrasive powder","157108608","0.03211251562768144","6805","Stone"
"Mineral wools and insulating materials","40281596","0.008233434167133288","6806","Stone"
"Asphalt","24625156","0.005033306048285358","6807","Stone"
"Panels of vegetable fibers","456386","0.00009328389286763347","6808","Stone"
"Plaster articles","145457168","0.02973099717463148","6809","Stone"
"Articles of cement, of concrete or of artificial stone","166299168","0.03399103778750571","6810","Stone"
"Asbestos-cement or cellulose fiber-cement","23822668","0.004869279972508359","6811","Stone"
"Asbestos fibres","552046","0.00011283650226344713","6812","Stone"
"Friction material and articles thereof","18865826","0.0038561167332990367","6813","Stone"
"Mica articles","215118","0.000043969456700905763","6814","Stone"
"Articles of stone or of other mineral substances","129134632","0.02639472108475999","6815","Stone"
"Bricks, blocks, and other ceramic goods","83569","0.00001708124623247703","6901","Stone"
"Bricks, tiles and similar refractory ceramic constructional goods","13029786","0.0026632481305565695","6902","Stone"
"Other refractory ceramic goods","94589424","0.01933378695846752","6903","Stone"
"Ceramic building bricks","28891930","0.00590542151349771","6904","Stone"
"Architectural ceramic ornaments","5219336","0.0010668162044063195","6905","Stone"
"Ceramic pipes","37854","0.000007737241021002829","6906","Stone"
"Unglazed ceramic flags and pavers","244141264","0.04990172247953403","6907","Stone"
"Glazed ceramic flags and pavers","217646896","0.04448635525506252","6908","Stone"
"Ceramic wares for technical ware","290410784","0.05935906987125251","6909","Stone"
"Ceramic sinks, washbasins, and similar sanitary fixtures","507462944","0.10372386291952401","6910","Stone"
"Porcelain or china household articles","5527194","0.0011297414314957658","6911","Stone"
"Ceramic household articles","23580282","0.004819737020584737","6912","Stone"
"Ornamental ceramic articles","28484266","0.005822096247380889","6913","Stone"
"Other ceramic articles","6519761","0.0013326190694863008","6914","Stone"
"Cullet and other scraps of glass","2328346","0.00047590675179077124","7001","Stone"
"Glass balls","414121","0.00008464505703119123","7002","Stone"
"Glass, cast or rolled","18930752","0.003869387407746377","7003","Stone"
"Drawn and blown glass","256644","0.000052457243213246956","7004","Stone"
"Float glass","56464492","0.011541168271054211","7005","Stone"
"Worked glass","8866256","0.0018122354209835806","7006","Stone"
"Safety glass","172399616","0.035237950571150624","7007","Stone"
"Multiple-walled insulating glass","110021304","0.02248801570489308","7008","Stone"
"Glass mirrors","124807696","0.025510308692028603","7009","Stone"
"Glass containers for conveyance","445060352","0.09096896529604159","7010","Stone"
